srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,sload,dload,spkts,dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,sjit,djit,stime,ltime,sintpkt,dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.3,54931,149.171.126.4,61718,tcp,FIN,0.012384,2558,23002,31,29,7,14,-,1611757.125,14505814.0,40,42,255,255,2600526933,2632576732,64,548,0,0,18.51585,17.413961,1424247380,1424247380,0.308103,0.2959,0.000685,0.000543,0.000142,0,0,0.0,0,-1,2,9,6,1,1,1,1,,0
59.166.0.6,55518,149.171.126.5,6881,tcp,FIN,0.018667,1540,1644,31,29,4,4,-,618846.125,665559.5625,16,18,255,255,2940782,2158516840,96,91,0,0,75.143966,2.046425,1421935514,1421935514,1.2234,1.070588,0.000585,0.000463,0.000122,0,0,0.0,0,0,9,9,6,8,6,1,6,,0
149.171.126.14,47439,175.45.176.1,53,udp,INT,5e-06,264,0,60,0,0,0,dns,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254034,1424254034,0.005,0.0,0.0,0.0,0.0,0,0,0.0,0,-1,29,29,19,19,19,19,29,,0
59.166.0.5,43486,149.171.126.3,29201,udp,CON,0.001665,536,304,31,29,0,0,-,1931531.5,1095495.5,4,4,0,0,0,0,134,76,0,0,0.603634,0.26753,1424253316,1424253316,0.431333,0.193667,0.0,0.0,0.0,0,0,0.0,0,-1,6,5,4,6,1,1,3,,0
59.166.0.6,27713,149.171.126.4,25,tcp,FIN,0.022738,37184,3276,31,29,18,8,smtp,12831032.0,1124109.375,52,40,255,255,3088934377,3094180816,715,82,0,0,25.503231,1.140302,1421972313,1421972313,0.43902,0.569923,0.000641,0.000507,0.000134,0,0,0.0,0,0,2,1,5,9,1,1,1,,0
59.166.0.5,43496,149.171.126.3,53,udp,CON,0.00114,146,178,31,29,0,0,dns,512280.7188,624561.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424233281,1424233281,0.008,0.005,0.0,0.0,0.0,0,0,0.0,0,-1,4,2,4,3,2,1,1,,0
59.166.0.0,10036,149.171.126.9,5190,tcp,FIN,0.005632,2054,2478,31,29,6,6,-,2785511.25,3373579.5,22,24,255,255,2867796821,718538965,93,103,0,0,16.151498,13.005028,1424222337,1424222337,0.278526,0.216261,0.000772,0.000649,0.000123,0,0,0.0,0,-1,6,8,2,2,1,1,4,,0
175.45.176.1,52434,149.171.126.17,3306,tcp,FIN,0.858939,608,646,254,252,2,3,-,5103.971191,5420.641113,10,10,255,255,2450870546,1769822054,61,65,0,0,4802.008786,110.236906,1424223706,1424223707,95.437667,88.279,0.153406,0.063739,0.089667,0,1,0.0,0,-1,3,2,1,1,1,1,2,,0
59.166.0.5,19092,149.171.126.8,5190,tcp,CON,0.591553,1564,1710,31,29,4,5,-,19988.06641,21692.05469,18,16,255,255,2601598401,456510238,87,107,0,0,2842.337985,87.270719,1421968519,1421968519,34.797235,39.387398,0.00069,0.000535,0.000155,0,0,0.0,0,0,7,6,2,3,1,1,1,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252977,1424252977,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0,-1,27,27,27,27,27,15,27,,1
